spec,class,className,method,location,error
KeyGeneratorSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createKey,CryptoStreamUtils.scala:119,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createKey,CryptoStreamUtils.scala:120,UnsafeAlgorithm
SecretKeySpec,org.apache.spark.security.CryptoStreamUtils$CryptoParams,CryptoStreamUtils$CryptoParams,<init>,CryptoStreamUtils.scala:162,UnsatisfiedConstraint
IvParameterSpecSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoOutputStream,CryptoStreamUtils.scala:58,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoOutputStream,CryptoStreamUtils.scala:58,InvalidSequenceOfMethodCalls
IvParameterSpecSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoInputStream,CryptoStreamUtils.scala:88,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoInputStream,CryptoStreamUtils.scala:88,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.apache.hadoop.io.SequenceFile$Writer,SequenceFile$Writer,<init>,SequenceFile.java:854,UnsafeAlgorithm
MessageDigestSpec,org.apache.hadoop.io.SequenceFile$Writer,SequenceFile$Writer,<init>,SequenceFile.java:855,InvalidSequenceOfMethodCalls
SSLContextSpec,com.gargoylesoftware.htmlunit.httpclient.HtmlUnitSSLConnectionSocketFactory,HtmlUnitSSLConnectionSocketFactory,buildSSLSocketFactory,HtmlUnitSSLConnectionSocketFactory.java:109,InvalidSequenceOfMethodCalls
SSLContextSpec,com.gargoylesoftware.htmlunit.httpclient.HtmlUnitSSLConnectionSocketFactory,HtmlUnitSSLConnectionSocketFactory,buildSSLSocketFactory,HtmlUnitSSLConnectionSocketFactory.java:110,UnsafeProtocol
PBEKeySpec,org.apache.spark.network.crypto.AuthEngine,AuthEngine,generateKey,AuthEngine.java:232,UnsatisfiedConstraint
SecretKeySpec,org.apache.spark.network.crypto.AuthEngine,AuthEngine,generateKey,AuthEngine.java:241,UnsatisfiedConstraint
IvParameterSpecSpec,org.apache.spark.network.crypto.AuthEngine,AuthEngine,initializeForAuth,AuthEngine.java:209,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.network.crypto.AuthEngine,AuthEngine,initializeForAuth,AuthEngine.java:209,InvalidSequenceOfMethodCalls
IvParameterSpecSpec,org.apache.spark.network.crypto.AuthEngine,AuthEngine,initializeForAuth,AuthEngine.java:212,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.network.crypto.AuthEngine,AuthEngine,initializeForAuth,AuthEngine.java:212,InvalidSequenceOfMethodCalls
IvParameterSpecSpec,org.apache.spark.network.crypto.TransportCipher,TransportCipher,createOutputStream,TransportCipher.java:88,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.network.crypto.TransportCipher,TransportCipher,createOutputStream,TransportCipher.java:88,InvalidSequenceOfMethodCalls
IvParameterSpecSpec,org.apache.spark.network.crypto.TransportCipher,TransportCipher,createInputStream,TransportCipher.java:92,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.network.crypto.TransportCipher,TransportCipher,createInputStream,TransportCipher.java:92,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createKey,CryptoStreamUtils.scala:119,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createKey,CryptoStreamUtils.scala:120,UnsafeAlgorithm
SecretKeySpec,org.apache.spark.security.CryptoStreamUtils$CryptoParams,CryptoStreamUtils$CryptoParams,<init>,CryptoStreamUtils.scala:162,UnsatisfiedConstraint
IvParameterSpecSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoOutputStream,CryptoStreamUtils.scala:58,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoOutputStream,CryptoStreamUtils.scala:58,InvalidSequenceOfMethodCalls
IvParameterSpecSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoInputStream,CryptoStreamUtils.scala:88,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createCryptoInputStream,CryptoStreamUtils.scala:88,InvalidSequenceOfMethodCalls
IvParameterSpecSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createWritableChannel,CryptoStreamUtils.scala:74,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createWritableChannel,CryptoStreamUtils.scala:74,InvalidSequenceOfMethodCalls
IvParameterSpecSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createReadableChannel,CryptoStreamUtils.scala:104,UnsatisfiedConstraint
IvParameterSpec,org.apache.spark.security.CryptoStreamUtils$,CryptoStreamUtils$,createReadableChannel,CryptoStreamUtils.scala:104,InvalidSequenceOfMethodCalls
SecureRandomSpec,org.apache.spark.launcher.LauncherServer,LauncherServer,createSecret,LauncherServer.java:271,InvalidSequenceOfMethodCalls
