Spec,Class,ClassName,method,message,cwe
rule_R02,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,algorithm: DESede,327
rule_R02,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,algorithm: DESede,327
rule_R02,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,algorithm: DESede,327
rule_R02,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,algorithm: DESede,327
rule_R05,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,key.encoded: 766fba39312f0d4aa39055fe5565611334821217ac773919,1391
rule_R05,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,key.encoded: 766fba39312f0d4aa39055fe5565611334821217ac773919,1391
rule_R05,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,key.encoded: 766fba39312f0d4aa39055fe5565611334821217ac773919,1391
rule_R05,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,key.encoded: 766fba39312f0d4aa39055fe5565611334821217ac773919,1391
rule_R09,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,key.iv: null,329
rule_R09,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,key.iv: null,329
rule_R18,org.apache.catalina.util.SessionIdGeneratorBase,SessionIdGeneratorBase,createSecureRandom,Random() called,338
rule_R18,org.apache.catalina.util.SessionIdGeneratorBase,SessionIdGeneratorBase,getRandomBytes,Random() called,338
rule_R18,org.apache.catalina.util.SessionIdGeneratorBase,SessionIdGeneratorBase,generateSessionId,Random() called,338
rule_R18,org.apache.catalina.util.SessionIdGeneratorBase,SessionIdGeneratorBase,startInternal,Random() called,338
rule_R22,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,protocol: http://null.oracle.com/,327
rule_R22,org.apache.meecrowave.Meecrowave$ValueTransformers$1,Meecrowave$ValueTransformers$1,apply,protocol: http://null.oracle.com/,327
