Project,Spec,Class,Method,Tool,Vulnerability,RelatedWarnings,TestClass,ExternalClass,Observation
Artemis,PBEKeySpecSpec,DefaultSensitiveStringCodec$PBKDF2Algorithm,encode,RV,TRUE,1,FALSE,FALSE,
Artemis,PBEKeySpecSpec,DefaultSensitiveStringCodec$PBKDF2Algorithm,verify,RV,TRUE,1,FALSE,FALSE,
Artemis,SecretKeySpecSpec,DefaultSensitiveStringCodec$BlowfishAlgorithm,encode,RV,TRUE,1,FALSE,FALSE,
Artemis,CipherSpec,DefaultSensitiveStringCodec$BlowfishAlgorithm,encode,RV,TRUE,1,FALSE,FALSE,
Artemis,SecretKeySpecSpec,DefaultSensitiveStringCodec$BlowfishAlgorithm,decode,RV,TRUE,1,FALSE,FALSE,
Artemis,CipherSpec,DefaultSensitiveStringCodec$BlowfishAlgorithm,decode,RV,TRUE,1,FALSE,FALSE,
Deltaspike,SecretKeySpecSpec,DefaultCipherService,getSecretKeySpec,RV,TRUE,1,FALSE,FALSE,
Deltaspike,CipherSpec,DefaultCipherService,aesEncrypt,RV,TRUE,1,FALSE,FALSE,
Deltaspike,CipherSpec,DefaultCipherService,aesDecrypt,RV,TRUE,1,FALSE,FALSE,
Wicket,PBEParameterSpecSpec,SunJceCrypt,<init>,RV,TRUE,1,FALSE,FALSE,
Wicket,PBEKeySpecSpec,SunJceCrypt,createKeySpec,RV,TRUE,1,FALSE,FALSE,
Wicket,CipherSpec,SunJceCrypt,createCipher,RV,TRUE,1,FALSE,FALSE,
Wicket,PBEKeySpec,UnlimitedStrengthJurisdictionPolicyTest$UnlimitedStrenghtJurisdictionPolicyCrypt,<init>,RV,TRUE,1,TRUE,FALSE,
Wicket,PBEKeySpec,UnlimitedStrengthJurisdictionPolicyTest$UnlimitedStrenghtJurisdictionPolicyCrypt,<init>,RV,TRUE,1,TRUE,FALSE,
Wicket,IvParameterSpecSpec,UnlimitedStrengthJurisdictionPolicyTest$UnlimitedStrenghtJurisdictionPolicyCrypt,<init>,RV,TRUE,1,TRUE,FALSE,
Wicket,CipherSpec,UnlimitedStrengthJurisdictionPolicyTest$UnlimitedStrenghtJurisdictionPolicyCrypt,crypt,RV,TRUE,1,TRUE,FALSE,
Meecrowave,SecureRandomSpec,SessionIdGeneratorBase,getRandomBytes,RV,-,1,FALSE,TRUE,
Meecrowave,SecretKeySpecSpec,Meecrowave$ValueTransformers$1,<init>,RV,TRUE,1,FALSE,FALSE,
Meecrowave,CipherSpec,Meecrowave$ValueTransformers$1,apply,RV,TRUE,1,FALSE,FALSE,
Kerberos,SecretKeySpec,AesEncryptionTest,<init>,RV,TRUE,1,TRUE,FALSE,
Kerberos,IvParameterSpecSpec,AesEncryptionTest,<init>,RV,TRUE,1,TRUE,FALSE,
Kerberos,SecretKeySpecSpec,DesCbcMd5Encryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,SecretKeySpecSpec,Des3CbcSha1KdEncryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,IvParameterSpecSpec,DesCbcMd5Encryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,IvParameterSpecSpec,Des3CbcSha1KdEncryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,CipherSpec,DesCbcMd5Encryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,CipherSpec,Des3CbcSha1KdEncryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,SecretKeySpecSpec,Des3CbcSha1KdEncryption,processChecksum,RV,TRUE,1,FALSE,FALSE,
Kerberos,MessageDigestSpec,DesCbcMd5Encryption,calculateIntegrity,RV,TRUE,1,FALSE,FALSE,
Kerberos,MacSpec,Des3CbcSha1KdEncryption,processChecksum,RV,TRUE,1,FALSE,FALSE,
Kerberos,SecureRandomSpec,EncryptionEngine,getRandomBytes,RV,FALSE,1,FALSE,FALSE,It looks like a bug in our specification
Kerberos,SecretKeySpecSpec,DesCbcCrcEncryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,IvParameterSpecSpec,DesCbcCrcEncryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,CipherSpec,DesCbcCrcEncryption,processCipher,RV,TRUE,1,FALSE,FALSE,
Kerberos,SecretKeySpecSpec,DesStringToKey,calculateChecksum,RV,TRUE,1,FALSE,FALSE,
Kerberos,IvParameterSpecSpec,DesStringToKey,calculateChecksum,RV,TRUE,1,FALSE,FALSE,
Kerberos,CipherSpec,DesStringToKey,calculateChecksum,RV,TRUE,1,FALSE,FALSE,
Kerberos,KeyGeneratorSpec,KeyTypeTest,testDesCipher,RV,TRUE,1,TRUE,FALSE,
Kerberos,KeyGeneratorSpec,KeyTypeTest,testGenerateHmacMd5,RV,TRUE,1,TRUE,FALSE,
Kerberos,KeyGeneratorSpec,KeyTypeTest,testGenerateHmacSha1,RV,TRUE,1,TRUE,FALSE,
Kerberos,MacSpec,KeyTypeTest,testGenerateHmacMd5,RV,TRUE,1,TRUE,FALSE,
Kerberos,MacSpec,KeyTypeTest,testGenerateHmacSha1,RV,TRUE,1,TRUE,FALSE,
Kerberos,KeyGeneratorSpec,KeyTypeTest,testArcFourCipher,RV,TRUE,1,TRUE,FALSE,
Kerberos,KeyGeneratorSpec,KeyTypeTest,testTripleDesCipher,RV,TRUE,1,TRUE,FALSE,
Kerberos,KeyGeneratorSpec,RandomKeyFactoryTest,testGenerateDesKey,RV,TRUE,1,TRUE,FALSE,
Kerberos,KeyGeneratorSpec,RandomKeyFactoryTest,testGenerateTripleDesKey,RV,TRUE,1,TRUE,FALSE,
Kerberos,KeyGeneratorSpec,RandomKeyFactory,getRandomKey,RV,TRUE,1,FALSE,FALSE,
Spark,KeyGeneratorSpec,CryptoStreamUtils$,createKey,RV,TRUE,3,FALSE,FALSE,
Spark,SecretKeySpecSpec,CryptoStreamUtils$CryptoParams,<init>,RV,TRUE,2,FALSE,FALSE,
Spark,IvParameterSpecSpec,CryptoStreamUtils$,createCryptoOutputStream,RV,TRUE,2,FALSE,FALSE,
Spark,IvParameterSpecSpec,CryptoStreamUtils$,createCryptoInputStream,RV,TRUE,2,FALSE,FALSE,
Spark,MessageDigestSpec,SequenceFile$Writer,<init>,RV,-,3,FALSE,TRUE,
Spark,SSLContextSpec,HtmlUnitSSLConnectionSocketFactory,buildSSLSocketFactory,RV,-,3,FALSE,TRUE,
Spark,PBEKeySpecSpec,AuthEngine,generateKey,RV,-,2,FALSE,TRUE,
Spark,SecretKeySpecSpec,AuthEngine,generateKey,RV,-,2,FALSE,TRUE,
Spark,IvParameterSpecSpec,AuthEngine,initializeForAuth,RV,-,4,FALSE,TRUE,
Spark,IvParameterSpecSpec,TransportCipher,createOutputStream,RV,-,4,FALSE,TRUE,
Spark,KeyGeneratorSpec,CryptoStreamUtils$,createKey,RV,TRUE,3,FALSE,FALSE,
Spark,SecretKeySpecSpec,CryptoStreamUtils$CryptoParams,<init>,RV,TRUE,2,FALSE,FALSE,
Spark,IvParameterSpecSpec,CryptoStreamUtils$,createWritableChannel,RV,TRUE,2,FALSE,FALSE,
Spark,IvParameterSpecSpec,CryptoStreamUtils$,createReadableChannel,RV,TRUE,2,FALSE,FALSE,
Spark,IvParameterSpecSpec,CryptoStreamUtils$,createCryptoOutputStream,RV,TRUE,2,FALSE,FALSE,
Spark,IvParameterSpecSpec,CryptoStreamUtils$,createCryptoInputStream,RV,TRUE,2,FALSE,FALSE,
Spark,SecureRandomSpec,LauncherServer,createSecret,RV,-,1,FALSE,TRUE,
Spark,KeyStoreSpec,SecurityManager$$anonfun$2,apply,RV,TRUE,1,FALSE,FALSE,
Spark,KeyManagerFactorySpec,SslContextFactory,getKeyManagers,RV,-,1,FALSE,TRUE,
Spark,SSLContextSpec,SslContextFactory,load,RV,-,3,FALSE,TRUE,
