spec,class,className,method,location,error,expecting
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:33,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES/ECB/PKCS5Padding."
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:33,InvalidSequenceOfMethodCalls,unknown
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:39,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES/ECB/PKCS5Padding."
CipherSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:39,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.brokencrypto.BrokenCrypto2,BrokenCrypto2,main,BrokenCrypto2.java:42,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found Blowfish."
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.brokencrypto.BrokenCrypto2,BrokenCrypto2,main,BrokenCrypto2.java:42,InvalidSequenceOfMethodCalls,unknown
CipherSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:32,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES/ECB/PKCS5Padding."
CipherSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:32,InvalidSequenceOfMethodCalls,unknown
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:34,UnsafeAlgorithm,"expecting one ofAES,HmacSHA256,HmacSHA384,HmacSHA512 but found DES."
KeyGeneratorSpec,main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.brokencrypto.BrokenCrypto1,BrokenCrypto1,main,BrokenCrypto1.java:34,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.insecurerandom.InsecureRandom1,InsecureRandom1,main,InsecureRandom1.java:49,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.insecurerandom.InsecureRandom1,InsecureRandom1,main,InsecureRandom1.java:49,InvalidSequenceOfMethodCalls,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.inter2path.truepositive.staticiv.StaticIv1,StaticIv1,method1,StaticIv1.java:48,UnsatisfiedConstraint,unknown
IvParameterSpecSpec,main.java.org.cambench.cap.mixedsensitivities.inter2path.truepositive.staticiv.StaticIv1,StaticIv1,method1,StaticIv1.java:48,InvalidSequenceOfMethodCalls,unknown
PBEParameterSpec,main.java.org.cambench.cap.interprocedural3.truepositive.pbeparameters.PBEParameters1,PBEParameters1,method2,PBEParameters1.java:36,UnsafeAlgorithm,expecting at least 1000 iterations and a randomized salt.
PBEParameterSpec,main.java.org.cambench.cap.interprocedural3.truepositive.pbeparameters.PBEParameters1,PBEParameters1,method2,PBEParameters1.java:36,InvalidSequenceOfMethodCalls,unknown
CipherSpec,main.java.org.cambench.cap.pathsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:37,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES/ECB/PKCS5Padding."
CipherSpec,main.java.org.cambench.cap.pathsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main,EcbMode1.java:37,InvalidSequenceOfMethodCalls,unknown
PBEParameterSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.pbeparameters.PBEParameters1,PBEParameters1,main,PBEParameters1.java:33,UnsafeAlgorithm,expecting at least 1000 iterations and a randomized salt.
PBEParameterSpec,main.java.org.cambench.cap.contextsensitivity.truepositive.pbeparameters.PBEParameters1,PBEParameters1,main,PBEParameters1.java:33,InvalidSequenceOfMethodCalls,unknown
