Language,ClassName,blank,comment,code
Java,BenchmarkTest01637,18,30,158
Java,BenchmarkTest01634,18,30,156
Java,BenchmarkTest01398,16,27,155
Java,BenchmarkTest02291,15,27,153
Java,BenchmarkTest01827,18,31,146
Java,BenchmarkTest01017,17,28,144
Java,BenchmarkTest01149,19,28,142
Java,BenchmarkTest02548,16,29,141
Java,BenchmarkTest00056,15,26,140
Java,BenchmarkTest01318,17,27,140
Java,BenchmarkTest02193,16,27,140
Java,BenchmarkTest02290,15,26,140
Java,BenchmarkTest02549,16,29,140
Java,BenchmarkTest01977,19,33,139
Java,BenchmarkTest00942,18,30,138
Java,BenchmarkTest01480,17,27,137
Java,BenchmarkTest01822,17,26,137
Java,BenchmarkTest02018,18,28,137
Java,BenchmarkTest01635,18,33,135
Java,BenchmarkTest01823,18,27,135
Java,BenchmarkTest01826,17,30,135
Java,BenchmarkTest00775,16,33,134
Java,BenchmarkTest00779,13,29,134
Java,BenchmarkTest01636,18,33,134
Java,BenchmarkTest00776,14,33,133
Java,BenchmarkTest01099,19,28,133
Java,BenchmarkTest02292,15,26,133
Java,BenchmarkTest00055,13,26,132
Java,BenchmarkTest00777,14,33,132
Java,BenchmarkTest01320,16,26,132
Java,BenchmarkTest01482,18,31,132
Java,BenchmarkTest00119,14,28,131
Java,BenchmarkTest00610,13,27,131
Java,BenchmarkTest01483,18,26,131
Java,BenchmarkTest01825,19,31,131
Java,BenchmarkTest02192,17,26,131
Java,BenchmarkTest02547,17,33,131
Java,BenchmarkTest00522,14,27,130
Java,BenchmarkTest01016,17,27,130
Java,BenchmarkTest02460,17,31,130
Java,BenchmarkTest00053,16,27,129
Java,BenchmarkTest00778,15,34,129
Java,BenchmarkTest01824,17,30,129
Java,BenchmarkTest02020,17,27,129
Java,BenchmarkTest01148,19,28,128
Java,BenchmarkTest01317,19,26,128
Java,BenchmarkTest00208,16,29,127
Java,BenchmarkTest00256,16,27,126
Java,BenchmarkTest00521,15,27,125
Java,BenchmarkTest01638,18,30,125
Java,BenchmarkTest01895,17,28,125
Java,BenchmarkTest02017,18,27,125
Java,BenchmarkTest02289,16,30,125
Java,BenchmarkTest00054,14,30,124
Java,BenchmarkTest01147,19,31,124
Java,BenchmarkTest01484,16,26,124
Java,BenchmarkTest01698,20,22,124
Java,BenchmarkTest00688,12,26,123
Java,BenchmarkTest00855,14,26,123
Java,BenchmarkTest01844,17,18,123
Java,BenchmarkTest01976,18,32,123
Java,BenchmarkTest02458,16,26,123
Java,BenchmarkTest00984,20,19,122
Java,BenchmarkTest01015,18,27,122
Java,BenchmarkTest01975,18,32,122
Java,BenchmarkTest02101,15,26,122
Java,BenchmarkTest02617,18,23,122
