cwe,ClassName,Tool,Warning
327,CipherExample09,RVSec,TP
327,CipherExample10,RVSec,TP
327,CipherExample02,RVSec,TP
327,CipherExample03,RVSec,TP
327,CipherExample04,RVSec,TP
327,CipherExample05,RVSec,TP
327,CipherExample06,RVSec,TP
327,CipherExample07,RVSec,TP
327,CipherExample08,RVSec,TP
327,CipherExample11,RVSec,TP
327,CipherExample12,RVSec,TP
327,CipherExample13,RVSec,TP
329,BaseStaticIV,RVSec,TP
329,ComplexStaticIV,RVSec,TP
329,StashStaticIV,RVSec,TP
329,CurrentTimeIV,RVSec,TP
328,MD01,RVSec,TP
328,MD02,RVSec,TP
328,MD03,RVSec,TP
328,MD04,RVSec,TP
328,MD05,RVSec,TP
328,MD06,RVSec,TP
328,MD07,RVSec,TP
328,MD08,RVSec,TP
327,ContextOfSSL,RVSec,TP
338,SecureRand01,RVSec,TP
338,SecureRand02,RVSec,TP
338,SecureRand03,RVSec,TP
327,CipherExample04,CogniCrypt,TP
327,CipherExample06,CogniCrypt,TP
327,CipherExample08,CogniCrypt,TP
327,CipherExample11,CogniCrypt,TP
327,CipherExample05,CogniCrypt,TP
327,CipherExample07,CogniCrypt,TP
327,CipherExample10,CogniCrypt,TP
327,CipherExample02,CogniCrypt,TP
327,CipherExample03,CogniCrypt,TP
327,CipherExample12,CogniCrypt,TP
327,CipherExample13,CogniCrypt,TP
329,BaseStaticIV,CogniCrypt,TP
329,ComplexStaticIV,CogniCrypt,TP
329,StashStaticIV,CogniCrypt,TP
329,CurrentTimeIV,CogniCrypt,TP
328,MD01,CogniCrypt,TP
328,MD02,CogniCrypt,TP
328,MD05,CogniCrypt,TP
328,MD04,CogniCrypt,TP
327,ContextOfSSL,CogniCrypt,TP
338,SecureRand01,CogniCrypt,TP
338,SecureRand02,CogniCrypt,TP
338,SecureRand03,CogniCrypt,TP
327,CipherExample09,CogniCrypt,FN
328,MD03,CogniCrypt,FN
328,MD06,CogniCrypt,FN
328,MD07,CogniCrypt,FN
328,MD08,CogniCrypt,FN
327,CipherExample03,CryptoGuard,TP
327,CipherExample04,CryptoGuard,TP
327,CipherExample06,CryptoGuard,TP
327,CipherExample08,CryptoGuard,TP
327,CipherExample11,CryptoGuard,TP
327,CipherExample02,CryptoGuard,TP
327,CipherExample07,CryptoGuard,TP
327,CipherExample12,CryptoGuard,TP
329,StashStaticIV,CryptoGuard,TP
329,BaseStaticIV,CryptoGuard,TP
338,SecureRand01,CryptoGuard,TP
338,SecureRand02,CryptoGuard,TP
338,SecureRand03,CryptoGuard,TP
328,MD01,CryptoGuard,TP
328,MD02,CryptoGuard,TP
328,MD06,CryptoGuard,TP
328,MD03,CryptoGuard,TP
328,MD04,CryptoGuard,TP
328,MD07,CryptoGuard,TP
327,CipherExample05,CryptoGuard,FN
327,CipherExample09,CryptoGuard,FN
327,CipherExample10,CryptoGuard,FN
327,CipherExample13,CryptoGuard,FN
329,ComplexStaticIV,CryptoGuard,FN
329,CurrentTimeIV,CryptoGuard,FN
328,MD05,CryptoGuard,FN
328,MD08,CryptoGuard,FN
327,ContextOfSSL,CryptoGuard,FN
328,MD07,CryLogger,TP
328,MD05,CryLogger,TP
328,MD01,CryLogger,TP
328,MD06,CryLogger,TP
328,MD03,CryLogger,TP
328,MD02,CryLogger,TP
328,MD08,CryLogger,TP
328,MD04,CryLogger,TP
327,CipherExample11,CryLogger,TP
327,CipherExample07,CryLogger,TP
327,CipherExample03,CryLogger,TP
327,CipherExample08,CryLogger,TP
327,CipherExample05,CryLogger,TP
327,CipherExample12,CryLogger,TP
327,CipherExample13,CryLogger,TP
327,CipherExample10,CryLogger,TP
327,CipherExample06,CryLogger,TP
327,CipherExample02,CryLogger,TP
327,CipherExample09,CryLogger,TP
327,CipherExample04,CryLogger,TP
329,BaseStaticIV,CryLogger,FN
329,ComplexStaticIV,CryLogger,FN
329,StashStaticIV,CryLogger,FN
329,CurrentTimeIV,CryLogger,FN
330,SecureRand01,CryLogger,FN
330,SecureRand02,CryLogger,FN
330,SecureRand03,CryLogger,FN
327,ContextOfSSL,CryLogger,FN
